"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties"
"CHEMBL1934631";"";"0";"581.11";"2";"6.20";"25";"Cc1ncnc(Nc2ccc(OCc3cccc(F)c3)c(Cl)c2)c1/C=C/c1ccc(CNCCS(C)(=O)=O)cc1";"IC50";"'='";"94.0";"nM";"7.03";"";"";"UO_0000065";"12.09";"0.24";"0.83";"7.54";"0";"CHEMBL1935838";"Inhibition of EGFR by time-resolved fluorescence assay";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL203";"Epidermal growth factor receptor erbB1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1933060";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2012";"None";""
"CHEMBL138363";"";"0";"384.24";"0";"4.05";"8";"C=C(C)C(=O)Nc1cc2c(Nc3cccc(Br)c3)ncnc2cn1";"IC50";"'='";"1.6";"nM";"8.80";"";"";"UO_0000065";"22.89";"0.50";"4.75";"11.02";"0";"CHEMBL673925";"Inhibition of phosphorylation of a polyglutamic acid/tyrosine random copolymer by EGFR enzyme (from human A431 carcinoma cell vesicles)";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL203";"Epidermal growth factor receptor erbB1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1134843";"1";"Scientific Literature";"J. Med. Chem.";"2001";"None";""
"CHEMBL334026";"";"0";"372.21";"1";"5.20";"31";"Clc1cccc(Nc2[nH]nc3ncnc(Oc4cccc(Cl)c4)c23)c1";"IC50";"'='";"24200.0";"nM";"4.62";"";"";"UO_0000065";"12.40";"0.25";"-0.58";"6.10";"0";"CHEMBL677832";"Inhibitory activity against epidermal growth factor receptor tyrosine kinase.";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL203";"Epidermal growth factor receptor erbB1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1130217";"1";"Scientific Literature";"J. Med. Chem.";"1997";"None";""
"CHEMBL327127";"";"0";"427.29";"0";"4.54";"52";"Cn1c(=O)c(-c2c(Cl)cccc2Cl)cc2cnc(Nc3cccc(CO)c3)nc21";"IC50";"'='";"90.0";"nM";"7.05";"";"";"UO_0000065";"16.49";"0.33";"2.51";"8.80";"0";"CHEMBL680019";"Inhibitory concentration was evaluated against epidermal growth factor receptor (EGFr) tyrosine kinase";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL203";"Epidermal growth factor receptor erbB1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1131066";"1";"Scientific Literature";"J. Med. Chem.";"1998";"None";""
"CHEMBL75049";"";"0";"238.29";"0";"3.32";"10";"Cc1[nH]c2ncnc(Nc3ccccc3)c2c1C";"IC50";"'='";"1900.0";"nM";"5.72";"";"";"UO_0000065";"24.01";"0.43";"2.40";"10.67";"0";"CHEMBL677880";"In vitro inhibitory activity against epidermal growth factor receptor";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL203";"Epidermal growth factor receptor erbB1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1129072";"1";"Scientific Literature";"J. Med. Chem.";"1996";"None";""
"CHEMBL305246";"";"0";"495.95";"0";"3.53";"26l";"Cc1cc(C(=O)N2CCN(C)CC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21";"IC50";"'='";"2.8";"nM";"8.55";"";"";"UO_0000065";"17.25";"0.33";"5.02";"8.05";"0";"CHEMBL674637";"Inhibitory activity towards tyrosine phosphorylation for the epidermal growth factor-receptor kinase";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL203";"Epidermal growth factor receptor erbB1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1134862";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2002";"None";""
"CHEMBL293749";"";"0";"308.34";"0";"2.36";"52";"N#C/C(=C\c1ccc(O)c(O)c1)C(=O)NCCc1ccccc1";"IC50";"'='";"930.0";"nM";"6.03";"";"";"UO_0000065";"19.56";"0.36";"3.67";"6.46";"0";"CHEMBL763200";"Inhibition of polyGAT phosphorylation";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL203";"Epidermal growth factor receptor erbB1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1125266";"1";"Scientific Literature";"J. Med. Chem.";"1991";"None";""
"CHEMBL48650";"";"0";"280.28";"0";"2.90";"3b";"O=C(Nc1ccccc1)c1cc2ccc(O)c(O)c2cn1";"IC50";"'='";"7700.0";"nM";"5.11";"";"";"UO_0000065";"18.24";"0.33";"2.21";"6.20";"0";"CHEMBL873595";"Inhibition of epidermal growth factor receptor (EGFR)";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL203";"Epidermal growth factor receptor erbB1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1126211";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"1992";"None";""
"CHEMBL55994";"";"0";"271.30";"0";"2.95";"36";"N#C/C(=C\c1ccc(O)c(O)c1)C(=O)c1cccs1";"IC50";"'='";"31000.0";"nM";"4.51";"";"";"UO_0000065";"16.62";"0.32";"1.56";"5.54";"1";"CHEMBL676152";"In vitro inhibition of HER1 autophosphorylation.";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL203";"Epidermal growth factor receptor erbB1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1125266";"1";"Scientific Literature";"J. Med. Chem.";"1991";"None";""
"CHEMBL307062";"";"0";"278.36";"0";"3.89";"35";"Cc1cccc(Nc2ncnc3[nH]c4c(c23)CCCC4)c1";"IC50";"'='";"820.0";"nM";"6.09";"";"";"UO_0000065";"21.86";"0.40";"2.20";"11.35";"0";"CHEMBL677880";"In vitro inhibitory activity against epidermal growth factor receptor";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL203";"Epidermal growth factor receptor erbB1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1129072";"1";"Scientific Literature";"J. Med. Chem.";"1996";"None";""
"CHEMBL162622";"";"0";"429.32";"0";"3.28";"5n";"Brc1cccc(Nc2ncnc3cnc(NCCN4CCOCC4)cc23)c1";"IC50";"'='";"0.65";"nM";"9.19";"";"";"UO_0000065";"21.40";"0.46";"5.91";"12.22";"0";"CHEMBL674648";"Inhibit of phosphorylation of a tyrosine/glutamic acid copolymer by epidermal growth factor receptor prepared from human A431 carcinoma cell vesicles by immunoaffinity chromatography.";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL203";"Epidermal growth factor receptor erbB1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1131301";"1";"Scientific Literature";"J. Med. Chem.";"1998";"None";""
"CHEMBL52765";"";"0";"315.17";"0";"3.72";"4";"Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1";"IC50";"'='";"44.0";"nM";"7.36";"";"";"UO_0000065";"23.34";"0.53";"3.64";"11.53";"1";"CHEMBL677833";"In vitro inhibition of Epidermal growth factor receptor tyrosine kinase isolated from A431 (human carcinoma).";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL203";"Epidermal growth factor receptor erbB1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1145114";"1";"Scientific Literature";"J. Med. Chem.";"2003";"None";""
"CHEMBL47986";"ERBSTATIN";"0";"179.18";"0";"0.81";"71";"O=CN/C=C/c1cc(O)ccc1O";"IC50";"'='";"14000.0";"nM";"4.85";"";"";"UO_0000065";"27.09";"0.51";"4.04";"6.98";"0";"CHEMBL674643";"Inhibitory concentration of EGF dependent autophosphorylation of epidermal growth factor receptor kinase";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL203";"Epidermal growth factor receptor erbB1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1124610";"1";"Scientific Literature";"J. Med. Chem.";"1989";"None";""
"CHEMBL115440";"";"0";"479.33";"0";"4.22";"20";"COCCOCC#CC(=O)Nc1ccc2ncc(C#N)c(Nc3cccc(Br)c3)c2c1";"IC50";"'='";"930.0";"nM";"6.03";"";"";"UO_0000065";"12.58";"0.27";"1.81";"6.27";"1";"CHEMBL680028";"Inhibition of autophosphorylation of cytoplasmic domain of epidermal growth factor receptor";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL203";"Epidermal growth factor receptor erbB1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1145020";"1";"Scientific Literature";"J. Med. Chem.";"2003";"None";""
"CHEMBL59145";"";"0";"299.71";"0";"3.54";"30";"N#C/C(=C\c1ccc(O)c(O)c1)C(=O)c1ccccc1Cl";"IC50";"'='";"6600.0";"nM";"5.18";"";"";"UO_0000065";"17.28";"0.34";"1.64";"6.37";"1";"CHEMBL676152";"In vitro inhibition of HER1 autophosphorylation.";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL203";"Epidermal growth factor receptor erbB1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1125266";"1";"Scientific Literature";"J. Med. Chem.";"1991";"None";""
"CHEMBL56731";"";"0";"280.28";"0";"2.64";"10";"N#C/C(=C\c1ccc(O)c(O)c1)C(=O)Nc1ccccc1";"IC50";"'='";"1258.93";"nM";"5.90";"";"";"UO_0000065";"21.05";"0.38";"3.26";"6.32";"0";"CHEMBL676067";"Inhibitory activity against epidermal growth factor receptor (EGFR)";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL203";"Epidermal growth factor receptor erbB1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1136802";"1";"Scientific Literature";"J. Med. Chem.";"2003";"None";""
"CHEMBL544865";"";"0";"452.76";"1";"5.37";"73";"COc1cc2sc3c(Nc4cccc(Br)c4)ncnc3c2cc1OC.Cl";"IC50";"'='";"444.0";"nM";"6.35";"";"";"UO_0000065";"15.26";"0.35";"0.98";"11.29";"0";"CHEMBL679944";"Concentration needed to inhibit the phosphorylation of a 14-residue fragment of phospholipase C-gamma1 by Epidermal growth factor receptor (prepared from human A431 carcinoma cell vesicles by immunoaffinity chromatography)";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL203";"Epidermal growth factor receptor erbB1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1132555";"1";"Scientific Literature";"J. Med. Chem.";"1999";"None";""
"CHEMBL57712";"";"0";"171.16";"0";"0.75";"57";"N#CC(C#N)=Cc1cc[n+]([O-])cc1";"IC50";"'='";"1300000.0";"nM";"2.89";"Outside typical range";"";"UO_0000065";"";"";"";"";"1";"CHEMBL674643";"Inhibitory concentration of EGF dependent autophosphorylation of epidermal growth factor receptor kinase";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL203";"Epidermal growth factor receptor erbB1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1124610";"1";"Scientific Literature";"J. Med. Chem.";"1989";"None";""
"CHEMBL307209";"";"0";"396.88";"1";"6.69";"30";"Clc1cccc(Nc2ncnc3[nH]c(-c4ccccc4)c(-c4ccccc4)c23)c1";"IC50";"'='";"96.0";"nM";"7.02";"";"";"UO_0000065";"17.68";"0.33";"0.33";"13.09";"0";"CHEMBL677880";"In vitro inhibitory activity against epidermal growth factor receptor";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL203";"Epidermal growth factor receptor erbB1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1129072";"1";"Scientific Literature";"J. Med. Chem.";"1996";"None";""
"CHEMBL93464";"";"0";"383.25";"0";"4.65";"18";"C/C=C/C(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1";"IC50";"'='";"236.0";"nM";"6.63";"";"";"UO_0000065";"17.29";"0.38";"1.98";"9.90";"0";"CHEMBL680018";"Inhibition of epidermal growth factor receptor using enzyme assay";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL203";"Epidermal growth factor receptor erbB1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1134561";"1";"Scientific Literature";"J. Med. Chem.";"2001";"None";""
"CHEMBL68920";"";"0";"383.81";"0";"4.45";"26d";"Cc1cc(C)c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)[nH]1";"IC50";"'='";"41.0";"nM";"7.39";"";"";"UO_0000065";"19.25";"0.37";"2.94";"8.93";"0";"CHEMBL674637";"Inhibitory activity towards tyrosine phosphorylation for the epidermal growth factor-receptor kinase";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL203";"Epidermal growth factor receptor erbB1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1134862";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2002";"None";""
"CHEMBL1947125";"";"0";"452.97";"1";"5.58";"3a";"CC1(C)CC(C(=O)Nc2ccc3ncnc(Nc4cccc(Cl)c4)c3c2)CC(C)(C)N1[O]";"IC50";"'='";"65.0";"nM";"7.19";"";"";"UO_0000065";"15.87";"0.31";"1.61";"7.98";"0";"CHEMBL1949352";"Inhibition of EGFR after 50 mins by HTRF assay";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL203";"Epidermal growth factor receptor erbB1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1944591";"1";"Scientific Literature";"Eur. J. Med. Chem.";"2012";"None";""
"CHEMBL1947124";"";"0";"470.96";"1";"5.72";"3c";"CC1(C)CC(C(=O)Nc2ccc3ncnc(Nc4ccc(F)c(Cl)c4)c3c2)CC(C)(C)N1[O]";"IC50";"'='";"15.0";"nM";"7.82";"";"";"UO_0000065";"16.61";"0.32";"2.10";"8.69";"0";"CHEMBL1949352";"Inhibition of EGFR after 50 mins by HTRF assay";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL203";"Epidermal growth factor receptor erbB1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1944591";"1";"Scientific Literature";"Eur. J. Med. Chem.";"2012";"None";""
"CHEMBL1242111";"";"0";"313.34";"0";"3.04";"PP78";"Nc1ncnc2c1c(-c1cccc(O)c1F)nn2C1CCCC1";"IC50";"'='";"1770.0";"nM";"5.75";"";"";"UO_0000065";"18.36";"0.34";"2.71";"6.40";"0";"CHEMBL1243977";"Inhibition of recombinant EGFR by radioactive phosphotransfer assay in presence of 10 uM ATP";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL203";"Epidermal growth factor receptor erbB1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1240340";"1";"Scientific Literature";"Nat. Chem. Biol.";"2008";"None";""
"CHEMBL1242471";"";"0";"285.31";"0";"2.01";"PP341";"CCOc1ccc(-c2n[nH]c3ncnc(N)c23)cc1OC";"IC50";"'='";"100000.0";"nM";"4.00";"";"";"UO_0000065";"14.02";"0.26";"1.99";"4.04";"0";"CHEMBL1243977";"Inhibition of recombinant EGFR by radioactive phosphotransfer assay in presence of 10 uM ATP";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL203";"Epidermal growth factor receptor erbB1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1240340";"1";"Scientific Literature";"Nat. Chem. Biol.";"2008";"None";""
"CHEMBL53299";"";"0";"436.31";"1";"5.15";"77, page S25 table 1";"COc1ccc(CNc2cc3c(Nc4cccc(Br)c4)ncnc3cn2)cc1";"IC50";"'='";"2.344";"nM";"8.63";"";"";"UO_0000065";"19.78";"0.42";"3.48";"11.99";"0";"CHEMBL952131";"Inhibition of EGFR";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL203";"Epidermal growth factor receptor erbB1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1143196";"1";"Scientific Literature";"J. Med. Chem.";"2008";"None";""
"CHEMBL258598";"";"0";"316.16";"0";"3.11";"60, page S24 table 1";"Nc1c(Br)cccc1Nc1ncnc2ccncc12";"IC50";"'='";"10.0";"nM";"8.00";"";"";"UO_0000065";"25.30";"0.58";"4.89";"10.43";"0";"CHEMBL952131";"Inhibition of EGFR";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL203";"Epidermal growth factor receptor erbB1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1143196";"1";"Scientific Literature";"J. Med. Chem.";"2008";"None";""
"CHEMBL50519";"";"0";"331.17";"0";"3.54";"52, page S24 table 1";"COc1ccc2ncnc(Nc3cccc(Br)c3)c2n1";"IC50";"'='";"4.365";"nM";"8.36";"";"";"UO_0000065";"25.24";"0.57";"4.82";"13.95";"0";"CHEMBL952131";"Inhibition of EGFR";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL203";"Epidermal growth factor receptor erbB1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1143196";"1";"Scientific Literature";"J. Med. Chem.";"2008";"None";""
"CHEMBL553";"ERLOTINIB";"4";"393.44";"0";"3.41";"1, Tarceva";"C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1";"IC50";"'='";"1.0";"nM";"9.00";"";"";"UO_0000065";"22.88";"0.42";"5.59";"12.04";"1";"CHEMBL1935855";"Inhibition of EGFR phosphorylation in EGF-stimulated human A431 after 2 hrs by Western blot analysis";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL203";"Epidermal growth factor receptor erbB1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1933060";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2012";"None";""
"CHEMBL1421";"DASATINIB";"4";"488.02";"0";"3.31";"2, BMS-354825";"Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1";"IC50";"'='";"180.0";"nM";"6.75";"";"";"UO_0000065";"13.82";"0.28";"3.43";"6.33";"0";"CHEMBL912344";"Inhibition of Her1";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL203";"Epidermal growth factor receptor erbB1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1137331";"1";"Scientific Literature";"J. Med. Chem.";"2006";"None";""
"CHEMBL1821868";"";"0";"454.56";"1";"6.69";"10";"Cc1ccc(C2=NN(c3nc(-c4ccccc4)cs3)C(c3ccc([N+](=O)[O-])cc3)C2)cc1C";"IC50";"'='";"3850.0";"nM";"5.42";"";"";"UO_0000065";"11.91";"0.22";"-1.28";"7.56";"0";"CHEMBL1827038";"Inhibition of recombinant (His)6-tagged EGFR cytoplasmic domain (645-1186) autophosphorylation pre-incubated for 10 mins measured after 1 hrs by DELFIA based time-resolved fluorimetry assay";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL203";"Epidermal growth factor receptor erbB1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1821709";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2011";"None";""
